Timestamp,Location,Shop/Owner/Business Name,"I own or use a smartphone for my business activities (ordering, payments, messaging).",I regularly use the internet (WhatsApp/social media) to communicate with customers or suppliers.,My shop accepts UPI/mobile payments.,"I have used any online marketplace (e.g., local delivery apps or e-commerce) to sell my products.",I avoid digital tools because I find them too difficult to use.,Accepting digital payments (UPI/cards) increased the number of customers who buy from me.,Using digital payments helps prevent theft or loss of cash in my shop.,Transaction fees or costs for digital payments are a burden for my business.,Using digital payments made bookkeeping (tracking sales) easier for me.,Using digital tools helped me increase sales and reach new customers beyond my local area.,Digital messaging and ordering helped me get repeat customers and made daily operations faster.,"I spend money to maintain digital services (mobile data, phone, app fees).",Digital record-keeping (in apps or spreadsheets) helped me manage purchases and stock.,I worry about fraud or wrong payments when using digital platforms.,I lost money due to digital transactions in the past.,I plan to use more digital tools in the next 12 months.
24/12/2025 18:35:58,"Uluberia, Howrah, West Bengal",Fries Shop 1,Neutral,Strongly disagree,Yes,No,Disagree,Neutral,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Strongly disagree,Agree,Neutral,Neutral
24/12/2025 18:39:01,"Uluberia, Howrah, West Bengal",Fries Shop 2,Strongly Disagree,Strongly disagree,Yes,No,Agree,Strongly agree,Neutral,Disagree,Disagree,Disagree,Disagree,Strongly agree,Disagree,Agree,Agree,Disagree
24/12/2025 18:47:15,"Uluberia, Howrah, West Bengal",Jewellry Seller 1,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree
24/12/2025 18:49:03,"Uluberia, Howrah, West Bengal",Jewellry Seller 2,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
24/12/2025 18:50:12,"Uluberia, Howrah, West Bengal",Jewellry Seller 3,Strongly Disagree,Strongly disagree,No,No,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
24/12/2025 18:51:42,"Uluberia, Howrah, West Bengal",Jewellry Seller 4,Strongly Disagree,Strongly disagree,No,No,Neutral,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree
24/12/2025 18:53:27,"Uluberia, Howrah, West Bengal",Fruit Shop 1,Neutral,Strongly disagree,Yes,No,Disagree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree
24/12/2025 18:57:41,"Uluberia, Howrah, West Bengal",Fruit Shop 2,Neutral,Strongly disagree,Yes,No,Disagree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Disagree,Disagree
24/12/2025 18:57:42,"Uluberia, Howrah, West Bengal",Fruit Shop 3,Disagree,Strongly disagree,Yes,No,Agree,Agree,Agree,Agree,Disagree,Disagree,Disagree,Disagree,Disagree,Agree,Neutral,Disagree
24/12/2025 19:01:01,"Uluberia, Howrah, West Bengal",Fruit Shop 4,Disagree,Strongly disagree,Yes,No,Agree,Agree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Agree,Agree,Neutral,Strongly disagree
24/12/2025 19:01:02,"Uluberia, Howrah, West Bengal",Fruit Shop 5,Neutral,Strongly disagree,Yes,No,Neutral,Disagree,Strongly disagree,Neutral,Disagree,Strongly disagree,Strongly disagree,Neutral,Agree,Neutral,Agree,Strongly disagree
24/12/2025 19:03:54,"Uluberia, Howrah, West Bengal",Fruit Shop 6,Disagree,Disagree,Yes,No,Agree,Neutral,Neutral,Agree,Strongly disagree,Disagree,Strongly disagree,Agree,Agree,Strongly agree,Agree,Disagree
24/12/2025 19:04:16,"Uluberia, Howrah, West Bengal",Fruit Shop 7,Disagree,Disagree,Yes,Yes,Strongly agree,Neutral,Agree,Agree,Disagree,Strongly disagree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Disagree
24/12/2025 19:06:39,"Uluberia, Howrah, West Bengal",Fruit Vender 1,Strongly Disagree,Strongly disagree,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Agree,Disagree,Strongly agree,Disagree,Strongly disagree
24/12/2025 19:06:41,"Uluberia, Howrah, West Bengal",Fruit Vender 2,Strongly Disagree,Strongly disagree,No,Yes,Strongly agree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Disagree,Agree,Disagree,Strongly disagree
24/12/2025 19:09:09,"Uluberia, Howrah, West Bengal",Fruit Vender 3,Strongly Disagree,Strongly disagree,No,No,Agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Disagree,Strongly agree,Agree,Disagree
24/12/2025 19:09:11,"Uluberia, Howrah, West Bengal",Fruit Vender 4,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Disagree,Strongly agree,Strongly disagree,Disagree,Disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree
24/12/2025 19:14:36,"Uluberia, Howrah, West Bengal",Fruit Shop 9,Strongly Disagree,Strongly disagree,Yes,No,Neutral,Agree,Agree,Disagree,Disagree,Agree,Strongly disagree,Disagree,Disagree,Neutral,Neutral,Disagree
24/12/2025 19:14:38,"Uluberia, Howrah, West Bengal",Fruit Shop 8,Disagree,Strongly disagree,Yes,No,Disagree,Disagree,Agree,Agree,Disagree,Agree,Strongly disagree,Agree,Strongly disagree,Agree,Neutral,Strongly disagree
24/12/2025 19:23:23,"Uluberia, Howrah, West Bengal",Fries Shop 3,Disagree,Strongly disagree,Yes,No,Disagree,Neutral,Agree,Agree,Strongly disagree,Strongly disagree,Disagree,Disagree,Disagree,Agree,Agree,Strongly disagree
24/12/2025 19:23:34,"Uluberia, Howrah, West Bengal",Fruit Shop 10,Disagree,Strongly disagree,Yes,No,Agree,Disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Disagree,Neutral,Disagree,Disagree,Disagree,Strongly disagree
08/01/2026 22:06:45,"Uluberia, Howrah, West Bengal",Fruit Vender 5,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,Neutral,Neutral
08/01/2026 22:06:46,"Uluberia, Howrah, West Bengal",Fruit Vender 6,Strongly Disagree,Strongly disagree,No,No,Strongly agree,Strongly disagree,Strongly disagree,Agree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree
08/01/2026 22:11:59,"Uluberia, Howrah, West Bengal",Flower Vender 1,Disagree,Strongly disagree,No,No,Agree,Disagree,Disagree,Strongly disagree,Disagree,Disagree,Strongly disagree,Neutral,Strongly disagree,Agree,Agree,Disagree
08/01/2026 22:12:01,"Uluberia, Howrah, West Bengal",Fruit Vender 7,Strongly Disagree,Strongly disagree,No,No,Disagree,Disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Disagree,Disagree,Disagree,Strongly disagree
08/01/2026 22:21:51,"Uluberia, Howrah, West Bengal",Peanut shop 1,Agree,Disagree,Yes,No,Neutral,Disagree,Neutral,Neutral,Agree,Agree,Agree,Disagree,Agree,Agree,Strongly disagree,Strongly disagree
08/01/2026 22:24:29,"Uluberia, Howrah, West Bengal",Shoes Shop 1,Disagree,Disagree,No,No,Strongly agree,Disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Strongly disagree,Agree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree
08/01/2026 22:24:30,"Uluberia, Howrah, West Bengal",Shoes Shop 2,Disagree,Disagree,No,No,Agree,Strongly disagree,Strongly disagree,Strongly agree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree,Strongly disagree,Strongly disagree
08/01/2026 22:27:11,"Uluberia, Howrah, West Bengal",Shoes Shop 3,Strongly Disagree,Strongly disagree,No,No,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Disagree
